"","Name","Price","Rating","Reviews"
"1","GzacDeope","$19.99","40","4.7 out of 5 stars"
"2","I Paused My Game to Be Here Hat for Men Women, Funny Adjustable Cotton Embroidered Gamer Baseball Cap  ","$21.99","399","4.6 out of 5 stars"
"3","swqfzki","$17.99","26","4.6 out of 5 stars"
"4","Gamer Hat Snapback Flat Bill Baseball Cap Men's Adjustable Gamers Gift Trucker Hats  ","$17.99","34,161","4.7 out of 5 stars"
"5","KUBILA","$16.99","85","4.6 out of 5 stars"
"6","Gamer Baseball Cap Gamers Gift Trucker Hats for Big Boy Girl  ","$17.99","1,570","4.7 out of 5 stars"
"7","Carhartt","$19.99","332","4.7 out of 5 stars"
"8","Men's Canvas Cap  ","$21.99","6","4.7 out of 5 stars"
"9","Shenbors","$21.99","33","4.5 out of 5 stars"
"10","Embroidered Baseball Hats for Men Women  ","$19.99","703","4.7 out of 5 stars"
"11","GOAUS","$19.99","155","4.5 out of 5 stars"
"12","Gamer Gifts,Socks Beanie Hat Baseball Cap, Valentines Day Gifts for Teen Boys Men Teenagers Kids Him  ","$9.99","109","4.4 out of 5 stars"
"13","Controller Gear","$24.95","10,064","4.7 out of 5 stars"
"14","Unisex-Adult's Super Mario Piranha Tube Snapback Flat Bill Hat, Black/Red, OSFM  ","$8.99","5","4.4 out of 5 stars"
"15","Ddsss","$11.99","9","4.7 out of 5 stars"
"16","Gaming Bucket Hat, Gamepad Gamer Fisherman Cap for Women Men, Video Game Unisex Packable Beach Sun Hat for Travel Outdoor  ","$8.99","11","4.5 out of 5 stars"
"17","Concept One","$10.90","7","5.0 out of 5 stars"
"18","Microsoft Xbox Baseball Hat, Glow in The Dark Skater Adult Snapback Cap with Flat Brim, Green/Black, One Size  ","$14.99","674","4.3 out of 5 stars"
"19","Ann Arbor T-shirt Co.","$15.99","55","4.5 out of 5 stars"
"20","I Paused My Game to Be Here | Funny Video Gamer Humor Joke for Men Women Hat Cap  ","$16.99","613","4.8 out of 5 stars"
"21","SATINIOR","$19.99","558","4.3 out of 5 stars"
"22","Do Not Disturb Gaming Socks Novelty Gamer Hat Funny Unisex Socks Cap for Kid Teen Men Women Game Lovers  ","$14.99","137","4.5 out of 5 stars"
"23","Negi","$12.95","4","5.0 out of 5 stars"
"24","Snapback Hats for Men Black hat Flat Bill Men Blank Hats Trucker Cool lids Flat  ","$7.95","12,055","4.8 out of 5 stars"
"25","Yupoong","$9.99","902","4.8 out of 5 stars"
"26","Flexfit 6277 Wooly Combed Twill Cap … Black  ","$15.99","2,976","4.8 out of 5 stars"
"27","Popuid","$23.95","319","4.8 out of 5 stars"
"28","Novelty Do Not Disturb I'm Gaming Beanie Skull Cap & Socks Set, Funny Video Gamer Lovers Gaming Fathers Day  ","$25.99","3,244","4.6 out of 5 stars"
"29","Xpayzere","$16.99","15,533","4.5 out of 5 stars"
"30","I Paused My Game to Be Here Hat for Men Women，Funny Embroidered Adjustable Washed Cotton Gamer Baseball Cap  ","$17.99","63","4.3 out of 5 stars"
"31","NDLBS","$11.99","392","4.7 out of 5 stars"
"32","Easter Basket Stuffers for Teens, Do Not Disturb Im Gaming Hats,Gamer Gifts Cool Graduation Gifts for Teens Men Him  ","$24.99","236","4.5 out of 5 stars"
"33","Bioworld","$20.99","3,473","4.8 out of 5 stars"
"34","Sony Playstation Embroidered Logo Patch Gaming Icons Youth Flat Bill Hat Multicolored  ","$15.99","57","4.4 out of 5 stars"
"35","NPJY","$23.95","9,787","4.5 out of 5 stars"
"36","Baseball Cap Golf Dad Hat Adjustable Original Classic Low Profile Cotton Hat Unconstructed Plain Cap Men Women  ","$28.23","144","4.6 out of 5 stars"
"37","PopCrew","$15.60","515","4.3 out of 5 stars"
"38","Gaming Hats | Funny Video Gamer Gifts Accessories for Men Women Kids Teen Boys Hat Cap  ","$22.00","4","5.0 out of 5 stars"
"39","Bioworld","$26.98","1,160","4.6 out of 5 stars"
"40","Marvel Comic Logo Sublimated Bill Snapback Cap Hat Black  ","$24.74","60","4.8 out of 5 stars"
"41","alavisxf xx","$15.88","195","4.4 out of 5 stars"
"42","alavisxf xx LED Cap, Detachable LED Display Screen Smart Hat Adjustable Cool LED Baseball Cap for Party Christmas Halloween(Black)  ","$21.95","13","4.9 out of 5 stars"
"43","Enodtter","$25.95","5,238","4.8 out of 5 stars"
"44","Embroidered Baseball Hats for Men and Women  ","$15.99","91","4.7 out of 5 stars"
"45","Crazy Dog T-Shirts","$7.20","86","4.6 out of 5 stars"
"46","I Cant Adult Now Im Gaming Hat Funny Video Game Nerdy Cool Gamer Cap Funny Hats Funny Gamer Novelty Hats for Men Black - Standard  ","$12.00","1,615","4.6 out of 5 stars"
"47","Columbia","$17.99","104","4.6 out of 5 stars"
"48","PFG Mesh Canada Fish Flag Stretch-Fit Hat  ","$22.99",NA,"4 Stars & Up"
"49","Minecraft","$6.99",NA,"3 Stars & Up"
"50","Baseball Cap Diamond Boys Gamer Gifts Boys Teenagers Kids Snapback  ","$7.99",NA,"2 Stars & Up"
"51","GIGABYTE GeForce RTX 4060 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060GAMING OC-8GD Video Card  ","$314.99","112","4.6 out of 5 stars"
"52","Hasbro Gaming Tiger Electronics Mighty Morphin Power Rangers Electronic LCD Video Game, Retro-Inspired Edition, Handheld 1-Player Game, Ages 8 and Up  ","$16.99","720","4.4 out of 5 stars"
"53","GIGABYTE GeForce RTX 4060 AERO OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 128-bit GDDR6, GV-N4060AERO OC-8GD Video Card  ","$324.99","93","4.9 out of 5 stars"
"54","Best Choice Products Swivel Gaming Chair 360 Degree Multipurpose Floor Chair Rocker for TV, Reading, Playing Video Games w/Lumbar Support, Armrest Handles, Adjustable Foldable Backrest - Black/Blue  ","$99.99","10,892","4.4 out of 5 stars"
"55","GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card  ","$270.99","2,138","4.7 out of 5 stars"
"56","JBL Quantum 100 - Wired Over-Ear Gaming Headphones - Black, Large  ","$429.99","15,299","4.4 out of 5 stars"
"57","Meta Quest 2 — Advanced All-In-One Virtual Reality Headset — 128 GB  ","$39.95","70,166","4.7 out of 5 stars"
"58","Retro Gaming Console, Nostalgia Stick Game, Retro Video Game Console with Built-in 9 Emulators, 20,000+ Games, 4K HDMI Output, and 2.4GHz Wireless Controller for TV Plug and Play (64 G)  ","$249.00","16","3.2 out of 5 stars"
