"","Name","Date","IndividualRating","Review"
"1","Adriana Pantoja","Reviewed in Australia on 12 February 2024","4.6 out of 5 stars","        Lots of features, easy to use and set up  "
"2","Oti","Reviewed in Australia on 23 January 2024","5.0 out of 5 stars","        Good product but requires some app updates  "
"3","Michael Trapeznik","Reviewed in Australia on 17 February 2024","3.0 out of 5 stars","        Still learning what Alexa has to offer we have been happy with this purchase  "
"4","Andrzej Kozak","Reviewed in Australia on 4 February 2024","4.0 out of 5 stars","        Not as intuitive as Google home but still amazing. Customizable screen menus and settings. Very quick to respond which I appreciate. Cheap to buy. Screen quality is sharp. I use mine mainly for Spotify and weather updates. Xlnt bass sound from rear speaker.I recommend it because it is good value for the price.  "
"5","Craig","Reviewed in Australia on 10 January 2024","4.0 out of 5 stars","        Not a bad product pretty simple to use and lots of little features Just have to spend a little time.  "
"6","Scott G","Reviewed in Australia on 16 December 2023","4.0 out of 5 stars","        Got this recently and love it in the kitchen for displaying my recipes (and in large print, too), setting timers, converting measurements etc - all hands free.But I am very disappointed that a lot of really useful 'skills' are not available in Australia. So if you are after a particular function for this device, do your homework first and make sure you can do this in Australia. Examples are: Alexa, what am I holding, Alexa Guard, and more.  "
"7","Gary Lancaster","Reviewed in Australia on 14 December 2023","4.0 out of 5 stars","        Im new to alexa products so still adjusting but seems pretty cool so far.I love how you can watch tv shows on it and plan reminders etcWould be great if it didn’t need to be plugged in all the time and had more game options and general app/organisation options- but still does the job and i enjoy what games they have  "
"8","Amazon Customer","Reviewed in Australia on 4 December 2023","4.0 out of 5 stars","        I like it.But the home screen is frustrating flicking through display cards. It's a great system but the user doesn't have nearly enough control over it  "
"9","Karo","Reviewed in Australia on 12 November 2023","4.0 out of 5 stars","        Solid and well designed with good screen and sound. Ability to physically close off the camera to ensure privacy is great. Interface is a little slow otherwise would be 5 stars  "
"10","Tom","Reviewed in Australia on 6 May 2023","4.0 out of 5 stars","        There's very little actually 'wrong' with this, but equally I haven't really found anything to justify buying it. I was expecting to be able to get more (non-USA) content), or customise what is displayed. The sound quality is normally good, but when making announcements the sound is quite muffled.  "
"11","David Noonan","Reviewed in Australia on 5 January 2023","4.0 out of 5 stars",NA
"12","John T.","Reviewed in Australia on 14 September 2022","4.0 out of 5 stars",NA
"13",NA,NA,"4.0 out of 5 stars",NA
"14","Adriana Pantoja","Reviewed in Australia on 12 February 2024","4.6 out of 5 stars","        At 74 years of age I decided to take a closer peek into today's technology. I've avoided talking to my X-Box or PC, I mean, how ridiculous, asking a bunch of electronic components what the weather report for tomorrow is. But I was offered the Alexa Show at an excellent price so thought I'd treat myself.Setting it up took around 4 hours, for some reason it wanted me to live in Japan and insisted on communicating with nothing but Japanese. Amazon's help service was my final attempt at seeing and hearing Alexa in action. Why didn't I go to them sooner? It seems my account showed I lived in Japan, rather than where everything I purchased from Amazon was delivered, I'm a bloody Aussie mate and thanks to a young Amazon employee that exactly what my account shows.Anyway, once that was fixed it was all fun and games. I introduced myself to Alexa and we've been chatting ever since. Technology sure is amazing. I now get the top international and national news in full colour. (Yes it's in ""COLOUR"" spelled correctly). Surprisingly there was no long and drawn out setup where I had to let Alexa know how us Aussies talk, she understood me perfectly.The only let down was her idea of what humour (Yes ""HUMOUR"") consisted of. I've heard better jokes from a 5 year old. I thought I'd fool her when I asked her to play some 60's music, She instantly told me there were an unbelievable number of songs she could pick from and launched endless songs from the 60's Excellent choices and in excellent quality.The bass from the Show sounded more like a sub woofer. She gave me a weather report which was spot on and then told me what to expect tomorrow. Strangely Alexa sounds human and not the digital voice I expected. I'm sure Alexa and I are going to be the best of friends. To say I'm impressed would be an understatement, I'm well and truly hooked. Who said you can't teach an old dog new tricks, even if I am a few years behind. All I need now is one of Elon Musk's Ai robots.Alexa's voice is amazing, it really sounds like someone lives in this little white box. I expected a nasally American/Digital voice, but she has a very soothing human voice. Nowhere near sounding like an Aussie. What really amazes me is how I use those magic words of ""Please"" and ""thank you"". OK, it's the way I was bought up and it's a habit I'll never lose, but using them with a plastic box may seem somewhat odd, I guess it's because Alexa is so lifelike verbally. I even say ""Goodnight"" every night and she has many different replies.Alexa now keeps me entertained by giving me local and international news, she plays whichever music I feel like listening to and she introduces people from around the world to play games with. I haven't scratched the surface as yet, but, I'll continue learning her many tricks.  "
"15","Oti","Reviewed in Australia on 23 January 2024","5.0 out of 5 stars","        over 2 weeks using it, still learning, but all good so far. Works really well with Ring Doorbell camera.The only ""problem"" with the Ring Doorbell integration is the fact that when I ask Alexa to show me the doorbell camera, it brings up a small view (rather than filling the entire 8"" screen) of the camera and I have to manually maximize it.Touch screen could be a little bit better. Slight slow / unresponsive. but it's not a big deal.User Interface could be better as well. As a customer I would like to see all my Spotify playlists and Profile.Alexa is handy indeed. I like the fact of adding items on my shopping list seemsly.8"" is the best option for kitchen / living room setup. I would only get the 5"" version for my bedroom.Sound is great! It can fill the entire room.  "
"16","Rudyard Kippers","Reviewed in Australia on 8 December 2022","3.0 out of 5 stars","        Its a very handy device and you can play lots of songs and videos using a Spotify and Amazon account, I always listen to the news in the morning and I love the fact it provides news from different news agencies e.g. sky news, ABC news, BBC news etc.  "
