"","MovieTitle","Reviewer","ReviewDate","Stars","Textreview","TitleReview"
"1","9. The Lord of the Rings: The Fellowship of the Ring","ccthemovieman-1","7 March 2006","","Here is one film that lived up to its hype, and by the time I saw it after it had arrived at the video stores, I had heard and read a ton of things about it, and seen all the awards it had received, and expected a lot. To my surprise, it did not disappoint.Now, several years later after having watched all three of these ""Rings"" films twice each, I still think this first movie of the trilogy is the best. It is a truly spectacular adventure story all the way through, probably the best ever put to film...and the first three hours of it is extra special. The following two films were very good, to be sure, but this first had a better mixture of the story. The second and third movies were almost entirely Frodo and his allies' long journey, but the first half of this movie also gives a good bit of interesting introductory material including a number of scenes at the Shire, before the long adventure starts. If you watch all three of these films consecutively the action wears you down by midway through the final episode and it almost becomes just too much That never gets a chance to happen with the ""Fellowship"" film.Anyway, ""Fellowship,"" stunned me for the visuals alone. I can't recall any film that has so many jaw-dropping scenes, one after the other, for three straight hours. Some are beyond description, and I don't care if they are computer- generated. So what? The fact is they are awesome to view, both in beauty and in staggering action scenes that feature incredible-looking monsters and other mythical characters.The story covers all kinds of terrain, too, from the lush Shire of the Hobbits, to the harsh neighboring landscapes. Each couple of minutes, as in the two movies that followed, scenes radically change from calmness to action, adventure to romance, sweet lovable characters to hideous monsters, on and on and on. It's an incredible movie experience."," First, And Still The Best Of LOTR"
"2","9. The Lord of the Rings: The Fellowship of the Ring","adamscastlevania2","11 November 2014","10/10","(95%) If the late 70's early 80's had the Star wars trilogy, then the 2000's had this epic fantasy masterclass. Regardless of whether you're a fantasy fan or not this is too good a movie to simply pass up, and it will be one of those movies that given time will prove it to be a classic. The deeper you look into this the more one notices that every single aspect really is a truly impressive accomplishment. The fact that every single sword used by the main characters was made by hand, with extra ones made only for carrying, fighting, etc, then there's the costumes/armor/props all made by teams of many people. They even made artificial trees for gods sake. But really all those things are just extras, what really makes this a unique watch is that it really does feel huge and sweeping, the sense of scale is fantastic and I can't think of anything that even comes close to matching it. What every epic flick needs this has, the cast is great, it's exciting, it has bags of character, it's funny, sad, superbly well made, with a great score and plenty of action. It's also one of very few 2 hour 30 minute + movies ever that leaves the audience wanting more. Since watching it around Christmas 2001 at a packed out cinema, and the many times I've seen it on DVD since, it never fails to impress and charm. All in all near perfect cinematic treat that keeps on giving."," Thank you Mr Jackson"
"3","9. The Lord of the Rings: The Fellowship of the Ring","bonnie91","14 April 2006","","The first part of the Lord of the Rings trilogy, the Fellowship of the Rings opened the door to a whole new world for me. I'd never read any of Tolkien's books when I saw the film for the first time at the theatre and, now that I've read them, in retrospect I think being a neophyte to the mythology made my LOTR movie experience all the more miraculous.I loved The Two Towers and Return of the King almost as much as FOTR, but not quite, because seeing Fellowship for the first time was like taking a journey to a fabulous new place and meeting incredible new friends that you don't want to leave. I've never felt anything quite like what this epic evoked in me. It was akin to being a child again, with that tireless sense of wonder and enjoyment of each and every moment, maybe because as a child you are discovering your surroundings, and whatever age you are, when you watch the Fellowship of the Ring you are rendered in awe upon being introduced to the purity and beauty of Middle Earth and darkly enthralled by the majesty of Eisengard, Saruman, Sauron and all of their mighty malice. One of the things that makes this movie so special (and there are so many!) is that you fall in love not only with the ""good"" characters, but also with the ""evil"" ones. For example, Christopher Lee was amazing as Saruman, and I can't imagine the movie without him.Some films that might be comparable to the Lord of the Rings trilogy are: The Fifth Element, the Star Wars Trilogy parts IV, V and VI (forget the newer prequels), the Matrix trilogy (especially the first part), Interview with a Vampire, the Legend of Sleepy Hollow (with Johnny Depp), Logan's Run and The Island. They are all excellent movies and works of art that weave that movie magic that keeps you spellbound and entranced for the duration of their runtime.But after seeing The Fellowship of the Ring, I knew I had found the movie by which I would judge all other movies. Based on J.R.R. Tolkien's beloved books, Peter Jackson has set a new standard in the industry of cinema, one that I honestly think has not and won't be surpassed, at least not in my lifetime, not even by PJ himself.It is truly an instant classic that will stand the test of time and be loved by generations to come. God Bless Tolkien and Jackson and everyone involved in the conception and making of this film, for creating a world that is at my fingertips, only takes the touch of a button to go to whenever I want, and makes me forget everything else.The LOTR Trilogy is undoubtedly MY precious, the non plus ultra of all movies!"," The Fellowship of the Ring: Not just a Movie, but the Door to another Dimension"
"4","9. The Lord of the Rings: The Fellowship of the Ring","Marshall-D-Teach","15 February 2020","10/10","It is my firm belief that the standard versions of The Lord of the Rings should be jettisoned in favour of the extended editions universally. Sure, the near 4 hour runtime is a tad steep, but for an absolute masterpiece like this, it's work every second and the first act of undoubtedly the best trilogy in cinematic history!"," Great"
"5","9. The Lord of the Rings: The Fellowship of the Ring","mosquitobite","7 March 2021","","An incredible feat
Enthrals anew every time
Cannot believe its two decades ago
Love it so much"," How the hell did they film this thing"
"6","9. The Lord of the Rings: The Fellowship of the Ring","Leofwine_draca","19 August 2016","10/10","Director Peter Jackson and wife Fran Walsh have successfully created an epic movie in both look and feel to equal J. R. R. Tolkien's novel (itself awarded the title of ""book of the century""), bringing to the big screen a film nearly flawless in its execution. My biggest disappointment is that two chapters are missing from the novel - Tom Bombadil and the following encounter with the barrow-wrights - but everything else is present and correct.Visually the film is stunning, and Jackson's decision to shoot it entirely in New Zealand is one that pays off. From the incredibly lush green opening scenes of the Shire, to the enchanting elvish woods, to the imposing mountains and plains, it really is a great film to look at and enjoy the backdrop. Even the computer-generated images, like that of Mount Doom, are pretty realistic. Jackson's fluid camera leads to some great sweeping shots through orc-infested mines, huge towers, cameras in places you've never dreamed of. The soundtrack is also perfect, with Howard Shore's suspenseful, exciting, and emotional score a real plus, especially with the cool chanting that fills the Mines of Moria sequence. On top of this, great stuff is done with sound effects - in particular one scene involving a horn suddenly blowing had me jumping in my seat with its realism.I don't really need to examine the story, because it sticks closely to the book with so few minor changes that it's impeccable. The script is intelligent and well-written, the characters charismatic and believable in the situations they encounter. Despite a three hour running time, the film never drags, even in some of the slower sequences - I just didn't want it to be over while I was watching it. The costumes, sets and appearances - down to the hobbits' hairy feet - are all exactly as you would picture them in the book. Jackson's bizarre, arty depiction of life in the ""netherworld"" when Frodo puts on the ring and becomes invisible is as good as it could ever have been - spooky, supernatural and utterly weird. Lighting, pacing, suspense, tension, and the rest - it's all here and done 100% correctly for an overall brilliant effect.Elijah Wood seemed an odd choice to me for the lead role, but I immediately fell in love with his character. Through his acting he creates an emotional, weak in body but strong in spirit hero, a real centre piece for the film to evolve around, and the film makes great use of the actor's slightly odd eyes (especially in the sequence in which he nearly becomes a wraith). Ian McKellen is also excellent as Gandalf and seems to have been perfectly cast in the role, making it his own. Then there's the fellowship itself - Viggo Mortensen excels as the proud and just Strider (later Aragorn), especially in the action stakes where he fights with such fierce determination that he's a presence to behold. Orlando Bloom is fine as the elf warrior Legolas, and moves as fast with his bow as he does in the book. Screen stalwart John Rhys-Davies IS Gimli the dwarf, and couldn't be better. Then there's Sean Astin - lovable as the dopey but loyal Sam Gamgee, and Billy Boyd and Dominic Monaghan in slight comic relief roles as hobbit buddies Pip and Merry. Finally, kudos to Sean Bean, for creating in Boromir a flawed but deeply likable and understandable character, with a sympathetic performance that eclipses all of the actor's previous work - bravo.The action sequences are magnificent and really get the heart going - they put you into the middle of the action with all the blood, sweat and clanging steel, and are edge-of-the-seat stuff. Highlights include Strider fighting the ring-wraiths with his burning brand on Weathertop and the final assault by orcs on the fellowship, which leads to one of the most noble deaths ever in a film. And what of the special effects? In a film dominated by CGI work, I'm happy to say that most are unnoticeable. The digital manipulation to create four-foot hobbits is sometimes dodgy but most of the time you don't notice. The backdrops and effects are great, expensive looking but solid and real at the same time - whoever said they look ""cartoony"" just got it wrong.My favourite scene in the movie is the Mines of Moria sequence - a fantasy fan's dream come true, and the best on screen depiction of a Dungeons & Dragons game so far. The lurker in the lake is a Lovecraftian monster par excellence and the spooky and atmospheric trip through the corpse-strewn deserted mines exceptionally eerie stuff. Then follows a fantastic battle with a cave troll, thankfully on screen for a fair amount of time so we get to admire the fluid and superb effects, and then a truly gob-smacking encounter with the fiery Balrog, just as you imagine it from the book. This half an hour is probably the best film sequence I've ever seen, flawless and perfect in its depiction - amazing. A highlight of what is an impressive and epic film throughout, and a must see for any film fan worth their salt - I can't recommend this film highly enough, and plan to watch it again before the cinema run expires. In my opinion this is better than any STAR WARS movie or HARRY POTTER - and easily one of the best fantasy movies ever made, although it has to be said the competition isn't exactly stiff. Bring on the sequel!"," Near perfect adaptation of a fantasy benchmark"
"7","9. The Lord of the Rings: The Fellowship of the Ring","mfellipecampos","8 August 2020","","It took me a while to watch this film (2020), but it was the best I've ever seen, it is just fantastic, it needs no praise, I dare say that the Lord of the Rings trilogy is the best cinematographic work ever produced by mankind. Perfect.Film seen on August 8, 2020."," Masterpiece"
"8","9. The Lord of the Rings: The Fellowship of the Ring","NRGWasp","2 May 2002","10/10","Simply incredible. Never before have I seen a 3 hour movie that didn't seem like 3 hours. I read the Lord of the Rings very recently and I was surprised at how similar Peter Jackson's vision was to my own.Now about the omissions and alterations. I'm not a crazed fanatic who gets worked up over every little detail. I didn't mind Arwen's inflation and I'm actually glad Tom Bombadil was scrubbed (I felt Tom Bombadil was an unnecessary addition to the book). Despite these minor changes, the screenplay stays extremely close to the book and flows very very well (and the prologue was a nice touch).The acting was flawless. As I've read many many times in other reviews, McKellen doesn't play Gandalf, he IS Gandalf. Wood, Mortensen, Holm, Astin, everyone was fantastic. My hat's off to Sean Bean who delivers an excellent performance as Boromir, a character who's intentions are good but wrestles with the corrupting power of the Ring. Bean portrays it VERY well. Oh, and Andy Serkis does a PERFECT Gollum voice. It's EXACTLY as I imagined it myself.The special effects were incredible, the cave troll, the balrog, Gollum, and Sauron's Eye all looked amazing. I was also very impressed by the seamless shrinking of the vertically challenged characters.What's wrong with this movie? I have no idea... I thought everything was perfect. MY biggest gripe is having to wait an entire year to see The Two Towers!"," An absolutely incredible film!"
"9","9. The Lord of the Rings: The Fellowship of the Ring","classicsoncall","22 December 2005","","When I first read ""The Hobbit"" and ""The Lord of the Rings"" Trilogy back in the early 1970's, I recall saying to myself that the story would make a wonderful movie. ""Star Wars"" still hadn't come out yet, and realizing that the available technology could not do justice to the fantastic world presented by J.R.R. Tolkien, it was simply best left to the imagination.Well, imagination has found life in ""The Fellowship of the Ring"", a truly profound epic that sets the standard for film fantasy, just as the books did for the written word. Upon first seeing it during it's initial release, I couldn't have been happier with the amount of detail it offered while remaining true to the original adventure. Everyone imagines what a story and characters look like in their own mind; it was as if Peter Jackson tapped a great cosmic consciousness to deliver a tale that captured the tone and pacing of the novel dead on.I feel that readers of the trilogy have a leg up on the characters and locations of Middle Earth, as they are revealed in the film quickly and with nominal explanation. For example, when the Black Riders appear for the first time, it's difficult to grasp what they're all about, other than the fact that they're after the ring. Strider's explanation of the Nazgul is perfect - ring wraiths who were once men, neither alive nor dead, who always feel the power of the ring. Coming to the movie with that understanding ahead of time helps the viewer have a greater appreciation of the action taking place.The real magic of the movie for me is the seamless manner in which the various races coexist and interact with each other. Though levels of unfamiliarity and distrust appear, can anyone coming out of the movie doubt that elves, dwarfs, hobbits and wizards actually exist. Even orcs and evil Uruk hai have a place in this world, for without the danger they pose there is no triumph.If the movie captures your imagination and you haven't read the trilogy or it's prequel ""The Hobbit"", you'll be doing yourself a favor to do so. There in even more exquisite detail are nuances such as Elvish poetry and additional characters that provide more depth and color to the world of Middle Earth. It's a world easy to get lost in, and makes one appreciate a writer of legendary proportion who invented a land, people, and language all of his own that can now be shared with everyone."," ""Remember what Bilbo used to say, it's dangerous business Frodo, going out the door."""
"10","9. The Lord of the Rings: The Fellowship of the Ring","EVON1TY","14 June 2019","10/10","""For the time will soon come when Hobbits will shape the fortunes of all.""
GaladrielGaladriel tells Hobbits may look like unimportant people but they will change the course of the future. Story begins with this line.This line is not really the first line but the line stars the movie for real. This movie is breathtaking. Whatever I say is not enough for this trilogy. Brilliant novel, brilliant adapted screenplay.Not just the novel or screenplay is excellent but the technics also revolutionary. The trilogy nearly opened a new era to Cinema. Some believed even more revolutionary than Star Wars and 2001: A Space Odyssey. Amazing makeup, breathtaking visual effects, stunning cinematography. The trilogy nearly succeed at all technical subjects."," An amazing beginning of the trilogy. An amazing end of the movie."
