"","X","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1",1,"samsung galaxy buds pro graphite  ","elizabeth richardson","verified purchase",2024-03-08,4,"        changed from iphone to samsung products apple airpods werent very compatible so bought these for my samsung great fit quality and features highly recommend  "
"2",2,"samsung galaxy buds pro graphite  ","kenma","verified purchase",2023-12-17,5,"        i had been using a cheap pair of buds that i bought from amazon and thought they were excellent for my birthday i decided to updates to the galaxy buds to pair with my new galaxy phone i was amazed at how much better they were than my old ones and especially love that the battery lasts a long time and also that the app provides me with so many options for customisation excrement happy  "
"3",3,"samsung galaxy buds pro graphite  ","alexandrou","verified purchase",2024-03-11,3,"        good sound quality and convenience for using  "
"4",4,"samsung galaxy buds pro graphite  ","elizabeth richardson","verified purchase",2024-03-08,5,"        item arrived safe in good condition  super fast delivery aaa  "
"5",5,"samsung galaxy buds pro graphite  ","allenxie","verified purchase",2024-02-15,5,"        too good  "
"6",6,"samsung galaxy buds pro graphite  ","ryu","verified purchase",2024-02-05,5,"        i am very happy with the samsung galaxy buds pro does everything i need from budsprice from amazon was really good and delivered within  hours cant ask for more then that  "
"7",7,"samsung galaxy buds pro graphite  ","ryu","verified purchase",2024-02-01,5,"        perfect buds work really well  "
"8",8,"samsung galaxy buds pro graphite  ","revaant","verified purchase",2024-01-11,5,"        love them more than airpods  "
"9",9,"samsung galaxy buds pro graphite  ","wayne w m","verified purchase",2024-01-08,5,"        pretty happy with the product jb hifi selling  more for the same model thank you so much  "
"10",10,"samsung galaxy buds pro graphite  ","jason","verified purchase",2024-01-08,5,"        after a  day delivery hiccup  hiatus success   it was worth the wait negotiated my way through set up via online  the big test was gregory porter singing stings its probably me  polar music prize ceremony  superbyet to test drive lohengrin preludespecial thanks to associate carl for his exemplary service  follow up  "
"11",11,"samsung galaxy buds pro graphite  ","joshua","verified purchase",2023-12-04,5,"        i can talk in the truck no worries and people can omg actually hear me  "
"12",12,"samsung galaxy buds pro graphite  ","thura a","verified purchase",2023-12-04,5,"        the bud pros are a great fit and sound quality is really goodgreat for workouts too  "
"13",13,"samsung galaxy buds pro graphite  ","frederick hayward","verified purchase",2024-03-08,5,"        delivery was very fast product was new and in box sealed  "
"14",14,"samsung galaxy buds pro graphite  ","elizabeth richardson","verified purchase",2023-12-17,5,"        samsung galaxy buds pro graphite have proven much better than my expectations been using them daily to listen to audio books in pub loud cafes very effective  "
"15",15,"samsung galaxy buds pro graphite  ","kenma","verified purchase",2023-11-27,4,"        excellent product  "
"16",16,"samsung galaxy buds pro graphite  ","joshua","verified purchase",2023-11-26,5,"        worked out of the box great sound quality with great bass definitly worth it  "
"17",17,"samsung galaxy buds pro graphite  ","sam","verified purchase",2023-10-20,3,"        great sound  "
"18",18,"samsung galaxy buds pro graphite  ","rob","verified purchase",2023-10-12,5,"        the best according to quality and price  "
"19",19,"samsung galaxy buds pro graphite  ","arnold m","verified purchase",2023-10-02,5,"        excellent quality  unique colours good sound and comfort reputable brand at an excellent price  "
"20",20,"samsung galaxy buds pro graphite  ","mrjoe","verified purchase",2023-09-30,5,"        love the colour features how they feel just nothing bad about them  "
"21",21,"samsung galaxy buds pro graphite  ","tom","verified purchase",2023-09-17,5,"        very good  "
"22",22,"samsung galaxy buds pro graphite  ","jonathan shorley","verified purchase",2023-09-02,5,"        much better than the last model absolutely splendid  "
"23",23,"samsung galaxy buds pro graphite  ","diegosic","verified purchase",2023-08-31,5,"        earbuds arrived faster than predicted and were safely packed  "
"24",24,"samsung galaxy buds pro graphite  ","melanie","verified purchase",2023-08-21,5,"        as described perfect to use and comfy to wear better than expected with clear sound and noise counselling  "
"25",25,"samsung galaxy buds pro graphite  ","steven","verified purchase",2024-03-08,5,"        the delivery time and all the product is ok  "
"26",26,"samsung galaxy buds pro graphite  ","elizabeth richardson","verified purchase",2023-12-17,5,"        amazing sound quality very convenient and robust touch features and impressive noise cancelling and ambient sound modesi had been concerned about purchasing this item based on a number of negative reviews related to the noise cancelling and sound quality but i now understand that such reviews are most likely from ocd types with a superficial grasp on the topics of signal processing and electronic hardwareif you want absolute isolation to outside noise interference opt for industrial grade ear plugs noise cancellation is not a magic panaceamoreover for the physical size and price of these earbuds the sound quality is quite impressive youd likely require in excess of several thousands of dollars for custom headphones if youre looking for studio quality sound  "
"27",27,"samsung galaxy buds pro graphite  ","kenma","verified purchase",2023-08-21,5,"        best buds so far great fit easy to use definitely recommend  "
"28",28,"samsung galaxy buds pro graphite  ","awesome","verified purchase",2023-08-19,4,"        perfect with my new galaxy phone  "
"29",29,"samsung galaxy buds pro graphite  ","pauls","verified purchase",2023-08-17,5,"        love these over everything else eay to use  "
"30",30,"samsung galaxy buds pro graphite  ","johanna","verified purchase",2023-08-01,3,"        i bought for the first time got seller and product cool sound and love it  "
