"","X","Title","Author","Subject","Abstract","Meta"
"1",1,"identifiability and observability of nonsmooth systems via taylor-like approximations","peter stechlinski, sameh eisa, hesham abdelfattah","optimization and control (math.oc)","new sensitivity-based methods are developed for determining identifiability and observability of nonsmooth input-output systems. more specifically, lexicographic calculus is used to construct nonsmooth sensitivity rank condition (serc) tests, which we call lexicographic serc (l-serc) tests. the introduced l-serc tests are: (i) practically implementable and amenable to large-scale problems; (ii) accurate since they directly treat the nonsmoothness while avoiding, e.g., smoothing approximations; and (iii) analogous to (and indeed recover) their smooth counterparts. to accomplish this, a first-order taylor-like approximation theory is developed using lexicographic differentiation to directly treat nonsmooth functions. a practically implementable algorithm is proposed that determines partial structural identifiability or observability, a useful characterization in the nonsmooth setting. lastly, the theory is illustrated through an application in climate modeling.",2024-03-19
"2",2,"uoc luong kenh truyen trong he thong da robot su dung sdr","do hai son, nguyen huu hung, pham duy hung, tran thi thuy quynh","robotics (cs.ro)","this study focuses on developing an experimental system for estimating communication channels in a multi-robot mobile system using software-defined radio (sdr) devices. the system consists of two mobile robots programmed for two scenarios: one where the robot remains stationary and another where it follows a predefined trajectory. communication within the system is conducted through orthogonal frequency-division multiplexing (ofdm) to mitigate the effects of multipath propagation in indoor environments. the system's performance is evaluated using the bit error rate (ber). connections related to robot motion and communication are implemented using raspberry pi  and bladerf x, respectively. the least squares (ls) technique is employed to estimate the channel with a bit error rate of approximately ^(-).",2024-03-19
"3",3,"optimizing service placement in edge-to-cloud ar/vr systems using a multi-objective genetic algorithm","mohammadsadeq garshasbi herabad, javid taheri, bestoun s. ahmed, calin curescu","distributed, parallel, and cluster computing (cs.dc)","augmented reality (ar) and virtual reality (vr) systems involve computationally intensive image processing algorithms that can burden end-devices with limited resources, leading to poor performance in providing low latency services. edge-to-cloud computing overcomes the limitations of end-devices by offloading their computations to nearby edge devices or remote cloud servers. although this proves to be sufficient for many applications, optimal placement of latency sensitive ar/vr services in edge-to-cloud infrastructures (to provide desirable service response times and reliability) remain a formidable challenging. to address this challenge, this paper develops a multi-objective genetic algorithm (moga) to optimize the placement of ar/vr-based services in multi-tier edge-to-cloud environments. the primary objective of the proposed moga is to minimize the response time of all running services, while maximizing the reliability of the underlying system from both software and hardware perspectives. to evaluate its performance, we mathematically modeled all components and developed a tailor-made simulator to assess its effectiveness on various scales. moga was compared with several heuristics to prove that intuitive solutions, which are usually assumed sufficient, are not efficient enough for the stated problem. the experimental results indicated that moga can significantly reduce the response time of deployed services by an average of \% on different scales, compared to other heuristic methods. moga also ensures reliability of the \% infrastructure (hardware) and \% services (software).",2024-03-19
"4",4,"two-dimensional inference of divertor plasma characteristics: advancements to a multi-instrument bayesian analysis system","daniel greenhouse, chris bowman, bruce lipschultz, kevin verhaegh, james harrison, alexandre fil","plasma physics (physics.plasm-ph)","an integrated data analysis system based on bayesian inference has been developed for application to data from multiple diagnostics over the two-dimensional cross-section of tokamak divertors. tests of the divertor multi-instrument bayesian analysis system (d-mibas) on a synthetic data set (including realistic experimental uncertainties) generated from solps-iter predictions of the mast-u divertor have been performed. the resulting inference was within \%, \% and \% median absolute percentage error of the solps-predicted electron temperature, electron density and neutral atomic hydrogen density, respectively, across a two-dimensional poloidal cross-section of the mast-u super-x outer divertor.
to accommodate molecular contributions to balmer emission, an advanced emission model has been developed which is shown to be crucial for inference accuracy. our d-mibas system utilises a mesh aligned to poloidal magnetic flux-surfaces, throughout the divertor, with plasma parameters assigned to each mesh vertex and collectively considered in the inference. this allowed comprehensive forward models to multiple diagnostics and the inclusion of expected physics. this is shown to be important for inference precision when including molecular contributions to balmer emission. these developments pave the way for accurate two-dimensional electron temperature, electron density and neutral atomic hydrogen density inferences for mast-u divertor experimental data for the first time.",2024-03-19
"5",5,"knowledge and data dual-driven channel estimation and feedback for ultra-massive mimo systems under hybrid field beam squint effect","kuiyu wang, zhen gao, sheng chen, boyu ning, gaojie chen, yu su, zhaocheng wang, h. vincent poor","information theory (cs.it)","acquiring accurate channel state information (csi) at an access point (ap) is challenging for wideband millimeter wave (mmwave) ultra-massive multiple-input and multiple-output (ummimo) systems, due to the high-dimensional channel matrices, hybrid near- and far- field channel feature, beam squint effects, and imperfect hardware constraints, such as low-resolution analog-to-digital converters, and in-phase and quadrature imbalance. to overcome these challenges, this paper proposes an efficient downlink channel estimation (ce) and csi feedback approach based on knowledge and data dual-driven deep learning (dl) networks. specifically, we first propose a data-driven residual neural network de-quantizer (resnet-dq) to pre-process the received pilot signals at user equipment (ues), where the noise and distortion brought by imperfect hardware can be mitigated. a knowledge-driven generalized multiple measurement vector learned approximate message passing (gmmv-lamp) network is then developed to jointly estimate the channels by exploiting the approximately same physical angle shared by different subcarriers. in particular, two wideband redundant dictionaries (wrds) are proposed such that the measurement matrices of the gmmv-lamp network can accommodate the far-field and near-field beam squint effect, respectively. finally, we propose an encoder at the ues and a decoder at the ap by a data-driven csi residual network (csi-resnet) to compress the csi matrix into a low-dimensional quantized bit vector for feedback, thereby reducing the feedback overhead substantially. simulation results show that the proposed knowledge and data dual-driven approach outperforms conventional downlink ce and csi feedback methods, especially in the case of low signal-to-noise ratios.",2024-03-19
"6",6,"contextual moral value alignment through context-based aggregation","pierre dognin, jesus rios, ronny luss, inkit padhi, matthew d riemer, miao liu, prasanna sattigeri, manish nagireddy, kush r. varshney, djallel bouneffouf","artificial intelligence (cs.ai)","developing value-aligned ai agents is a complex undertaking and an ongoing challenge in the field of ai. specifically within the domain of large language models (llms), the capability to consolidate multiple independently trained dialogue agents, each aligned with a distinct moral value, into a unified system that can adapt to and be aligned with multiple moral values is of paramount importance. in this paper, we propose a system that does contextual moral value alignment based on contextual aggregation. here, aggregation is defined as the process of integrating a subset of llm responses that are best suited to respond to a user input, taking into account features extracted from the user's input. the proposed system shows better results in term of alignment to human value compared to the state of the art.",2024-03-19
"7",7,"beyond point masses. i. new non-keplerian modeling tools applied to trans-neptunian triple () lempo","darin ragozzine, seth pincock, benjamin c. n. proudfoot, dallin spencer, simon porter, will grundy","earth and planetary astrophysics (astro-ph.ep)","many details of the formation and evolution of the solar system are best inferred by understanding the orbital and physical properties of small bodies in the solar system. for example, small body binaries are particularly valuable for measuring masses. by extending the models of small body binaries beyond point masses, new information about the shape and spin orientation becomes available. this is particularly informative for trans-neptunian multiples (two or more components) where shapes and spin orientations are poorly understood. going beyond point masses requires modeling tools that no longer assume fixed keplerian orbits. to this end, we have developed a new n-quadrupole integrator spinny (spin+n-body) and pair it with a bayesian parameter inference tool multimoon, both of which are publicly available. we describe these tools and how they can be used to learn more about solar system small body multiple systems. we then apply them to the unique trans-neptunian hierarchical triple system () lempo, finding a three-point-mass solution for the first time. this solution has two surprises: unequal densities of the inner components and a dynamical configuration apparently unstable on the age of the solar system.",2024-03-19
"8",8,"large-scale ris enabled air-ground channels: near-field modeling and analysis","hao jiang, wangqi shi, zaichen zhang, cunhua pan, qingqing wu, feng shu, ruiqi liu, jiangzhou wang","signal processing (eess.sp)","existing works mainly rely on the far-field planar-wave-based channel model to assess the performance of reconfigurable intelligent surface (ris)-enabled wireless communication systems. however, when the transmitter and receiver are in near-field ranges, this will result in relatively low computing accuracy. to tackle this challenge, we initially develop an analytical framework for sub-array partitioning. this framework divides the large-scale ris array into multiple sub-arrays, effectively reducing modeling complexity while maintaining acceptable accuracy. then, we develop a beam domain channel model based on the proposed sub-array partition framework for large-scale ris-enabled uav-to-vehicle communication systems, which can be used to efficiently capture the sparse features in ris-enabled uav-to-vehicle channels in both near-field and far-field ranges. furthermore, some important propagation characteristics of the proposed channel model, including the spatial cross-correlation functions (ccfs), temporal auto-correlation functions (acfs), frequency correlation functions (cfs), and channel capacities with respect to the different physical features of the ris and non-stationary properties of the channel model are derived and analyzed. finally, simulation results are provided to demonstrate that the proposed framework is helpful to achieve a good tradeoff between model complexity and accuracy for investigating the channel propagation characteristics, and therefore providing highly-efficient communications in ris-enabled uav-to-vehicle wireless networks.",2024-03-19
"9",9,"contextvis: envision contextual learning and interaction with generative models","bo shui, chufan shi, yujiu yang, xiaomei nie","human-computer interaction (cs.hc)","contextvis introduces a workflow by integrating generative models to create contextual learning materials. it aims to boost knowledge acquisition through the creation of resources with contextual cues. a case study on vocabulary learning demonstrates the effectiveness of generative models in developing educational resources that enrich language understanding and aid memory retention. the system combines an easy-to-use dashboard for educators with an interactive playground for learners, establishing a unified platform for content creation and interaction. future work may expand to include a wider range of generative models, media formats, and customization features for educators.",2024-03-19
"10",10,"smooth helically symmetric transonic flows with nonzero vorticity in a concentric cylinder","yi ke, shangkun weng","analysis of pdes (math.ap)","this paper concerns the structural stability of smooth cylindrical symmetric transonic flows in a concentric cylinder under helically symmetric perturbation of suitable boundary conditions. the deformation-curl decomposition developed by the second author and his collaborator is utilized to effectively decouple the elliptic-hyperbolic mixed structure in the steady compressible euler equation. a key parameter in the helical symmetry is the step (denoted by $\sigma$), which denotes the magnitude of the translation along the symmetry axis after rotating one full turn. it is shown that the step determines the type of the first order partial differential system satisfied by the radial and vertical velocity. there exists a critical number $\sigma_{}$ depending only on the background transonic flows, such that if $<\sigma<\sigma_{}$, one can prove the existence and uniqueness of smooth helically symmetric transonic flows with nonzero vorticity.",2024-03-19
