"","Title","Author","Subject","Abstract","Meta"
"1","Identifiability and Observability of Nonsmooth Systems via Taylor-like Approximations","Peter Stechlinski, Sameh Eisa, Hesham Abdelfattah","Optimization and Control (math.OC)","New sensitivity-based methods are developed for determining identifiability and observability of nonsmooth input-output systems. More specifically, lexicographic calculus is used to construct nonsmooth sensitivity rank condition (SERC) tests, which we call lexicographic SERC (L-SERC) tests. The introduced L-SERC tests are: (i) practically implementable and amenable to large-scale problems; (ii) accurate since they directly treat the nonsmoothness while avoiding, e.g., smoothing approximations; and (iii) analogous to (and indeed recover) their smooth counterparts. To accomplish this, a first-order Taylor-like approximation theory is developed using lexicographic differentiation to directly treat nonsmooth functions. A practically implementable algorithm is proposed that determines partial structural identifiability or observability, a useful characterization in the nonsmooth setting. Lastly, the theory is illustrated through an application in climate modeling.","Tue, 19 Mar 2024 17:32:53 UTC (339 KB)"
"2","Uoc luong kenh truyen trong he thong da robot su dung SDR","Do Hai Son, Nguyen Huu Hung, Pham Duy Hung, Tran Thi Thuy Quynh","Robotics (cs.RO)","This study focuses on developing an experimental system for estimating communication channels in a multi-robot mobile system using software-defined radio (SDR) devices. The system consists of two mobile robots programmed for two scenarios: one where the robot remains stationary and another where it follows a predefined trajectory. Communication within the system is conducted through orthogonal frequency-division multiplexing (OFDM) to mitigate the effects of multipath propagation in indoor environments. The system's performance is evaluated using the bit error rate (BER). Connections related to robot motion and communication are implemented using Raspberry Pi 3 and BladeRF x115, respectively. The least squares (LS) technique is employed to estimate the channel with a bit error rate of approximately 10^(-2).","Tue, 19 Mar 2024 16:44:53 UTC (14,853 KB)"
"3","Optimizing Service Placement in Edge-to-Cloud AR/VR Systems using a Multi-Objective Genetic Algorithm","Mohammadsadeq Garshasbi Herabad, Javid Taheri, Bestoun S. Ahmed, Calin Curescu","Distributed, Parallel, and Cluster Computing (cs.DC)","Augmented Reality (AR) and Virtual Reality (VR) systems involve computationally intensive image processing algorithms that can burden end-devices with limited resources, leading to poor performance in providing low latency services. Edge-to-cloud computing overcomes the limitations of end-devices by offloading their computations to nearby edge devices or remote cloud servers. Although this proves to be sufficient for many applications, optimal placement of latency sensitive AR/VR services in edge-to-cloud infrastructures (to provide desirable service response times and reliability) remain a formidable challenging. To address this challenge, this paper develops a Multi-Objective Genetic Algorithm (MOGA) to optimize the placement of AR/VR-based services in multi-tier edge-to-cloud environments. The primary objective of the proposed MOGA is to minimize the response time of all running services, while maximizing the reliability of the underlying system from both software and hardware perspectives. To evaluate its performance, we mathematically modeled all components and developed a tailor-made simulator to assess its effectiveness on various scales. MOGA was compared with several heuristics to prove that intuitive solutions, which are usually assumed sufficient, are not efficient enough for the stated problem. The experimental results indicated that MOGA can significantly reduce the response time of deployed services by an average of 67\% on different scales, compared to other heuristic methods. MOGA also ensures reliability of the 97\% infrastructure (hardware) and 95\% services (software).","Tue, 19 Mar 2024 15:54:56 UTC (1,379 KB)"
"4","Two-dimensional inference of divertor plasma characteristics: advancements to a multi-instrument Bayesian analysis system","Daniel Greenhouse, Chris Bowman, Bruce Lipschultz, Kevin Verhaegh, James Harrison, Alexandre Fil","Plasma Physics (physics.plasm-ph)","An integrated data analysis system based on Bayesian inference has been developed for application to data from multiple diagnostics over the two-dimensional cross-section of tokamak divertors. Tests of the divertor multi-instrument Bayesian analysis system (D-MIBAS) on a synthetic data set (including realistic experimental uncertainties) generated from SOLPS-ITER predictions of the MAST-U divertor have been performed. The resulting inference was within 6\%, 5\% and 30\% median absolute percentage error of the SOLPS-predicted electron temperature, electron density and neutral atomic hydrogen density, respectively, across a two-dimensional poloidal cross-section of the MAST-U Super-X outer divertor.
To accommodate molecular contributions to Balmer emission, an advanced emission model has been developed which is shown to be crucial for inference accuracy. Our D-MIBAS system utilises a mesh aligned to poloidal magnetic flux-surfaces, throughout the divertor, with plasma parameters assigned to each mesh vertex and collectively considered in the inference. This allowed comprehensive forward models to multiple diagnostics and the inclusion of expected physics. This is shown to be important for inference precision when including molecular contributions to Balmer emission. These developments pave the way for accurate two-dimensional electron temperature, electron density and neutral atomic hydrogen density inferences for MAST-U divertor experimental data for the first time.","Tue, 19 Mar 2024 15:18:03 UTC (3,585 KB)"
"5","Knowledge and Data Dual-Driven Channel Estimation and Feedback for Ultra-Massive MIMO Systems under Hybrid Field Beam Squint Effect","Kuiyu Wang, Zhen Gao, Sheng Chen, Boyu Ning, Gaojie Chen, Yu Su, Zhaocheng Wang, H. Vincent Poor","Information Theory (cs.IT)","Acquiring accurate channel state information (CSI) at an access point (AP) is challenging for wideband millimeter wave (mmWave) ultra-massive multiple-input and multiple-output (UMMIMO) systems, due to the high-dimensional channel matrices, hybrid near- and far- field channel feature, beam squint effects, and imperfect hardware constraints, such as low-resolution analog-to-digital converters, and in-phase and quadrature imbalance. To overcome these challenges, this paper proposes an efficient downlink channel estimation (CE) and CSI feedback approach based on knowledge and data dual-driven deep learning (DL) networks. Specifically, we first propose a data-driven residual neural network de-quantizer (ResNet-DQ) to pre-process the received pilot signals at user equipment (UEs), where the noise and distortion brought by imperfect hardware can be mitigated. A knowledge-driven generalized multiple measurement vector learned approximate message passing (GMMV-LAMP) network is then developed to jointly estimate the channels by exploiting the approximately same physical angle shared by different subcarriers. In particular, two wideband redundant dictionaries (WRDs) are proposed such that the measurement matrices of the GMMV-LAMP network can accommodate the far-field and near-field beam squint effect, respectively. Finally, we propose an encoder at the UEs and a decoder at the AP by a data-driven CSI residual network (CSI-ResNet) to compress the CSI matrix into a low-dimensional quantized bit vector for feedback, thereby reducing the feedback overhead substantially. Simulation results show that the proposed knowledge and data dual-driven approach outperforms conventional downlink CE and CSI feedback methods, especially in the case of low signal-to-noise ratios.","Tue, 19 Mar 2024 15:12:56 UTC (14,198 KB)"
"6","Contextual Moral Value Alignment Through Context-Based Aggregation","Pierre Dognin, Jesus Rios, Ronny Luss, Inkit Padhi, Matthew D Riemer, Miao Liu, Prasanna Sattigeri, Manish Nagireddy, Kush R. Varshney, Djallel Bouneffouf","Artificial Intelligence (cs.AI)","Developing value-aligned AI agents is a complex undertaking and an ongoing challenge in the field of AI. Specifically within the domain of Large Language Models (LLMs), the capability to consolidate multiple independently trained dialogue agents, each aligned with a distinct moral value, into a unified system that can adapt to and be aligned with multiple moral values is of paramount importance. In this paper, we propose a system that does contextual moral value alignment based on contextual aggregation. Here, aggregation is defined as the process of integrating a subset of LLM responses that are best suited to respond to a user input, taking into account features extracted from the user's input. The proposed system shows better results in term of alignment to human value compared to the state of the art.","Tue, 19 Mar 2024 15:06:53 UTC (7,035 KB)"
"7","Beyond Point Masses. I. New Non-Keplerian Modeling Tools Applied to Trans-Neptunian Triple (47171) Lempo","Darin Ragozzine, Seth Pincock, Benjamin C. N. Proudfoot, Dallin Spencer, Simon Porter, Will Grundy","Earth and Planetary Astrophysics (astro-ph.EP)","Many details of the formation and evolution of the solar system are best inferred by understanding the orbital and physical properties of small bodies in the solar system. For example, small body binaries are particularly valuable for measuring masses. By extending the models of small body binaries beyond point masses, new information about the shape and spin orientation becomes available. This is particularly informative for Trans-Neptunian multiples (two or more components) where shapes and spin orientations are poorly understood. Going beyond point masses requires modeling tools that no longer assume fixed Keplerian orbits. To this end, we have developed a new n-quadrupole integrator SPINNY (SPIN+N-bodY) and pair it with a Bayesian parameter inference tool MultiMoon, both of which are publicly available. We describe these tools and how they can be used to learn more about solar system small body multiple systems. We then apply them to the unique Trans-Neptunian hierarchical triple system (47171) Lempo, finding a three-point-mass solution for the first time. This solution has two surprises: unequal densities of the inner components and a dynamical configuration apparently unstable on the age of the solar system.","Tue, 19 Mar 2024 14:50:47 UTC (4,925 KB)"
"8","Large-Scale RIS Enabled Air-Ground Channels: Near-Field Modeling and Analysis","Hao Jiang, Wangqi Shi, Zaichen Zhang, Cunhua Pan, Qingqing Wu, Feng Shu, Ruiqi Liu, Jiangzhou Wang","Signal Processing (eess.SP)","Existing works mainly rely on the far-field planar-wave-based channel model to assess the performance of reconfigurable intelligent surface (RIS)-enabled wireless communication systems. However, when the transmitter and receiver are in near-field ranges, this will result in relatively low computing accuracy. To tackle this challenge, we initially develop an analytical framework for sub-array partitioning. This framework divides the large-scale RIS array into multiple sub-arrays, effectively reducing modeling complexity while maintaining acceptable accuracy. Then, we develop a beam domain channel model based on the proposed sub-array partition framework for large-scale RIS-enabled UAV-to-vehicle communication systems, which can be used to efficiently capture the sparse features in RIS-enabled UAV-to-vehicle channels in both near-field and far-field ranges. Furthermore, some important propagation characteristics of the proposed channel model, including the spatial cross-correlation functions (CCFs), temporal auto-correlation functions (ACFs), frequency correlation functions (CFs), and channel capacities with respect to the different physical features of the RIS and non-stationary properties of the channel model are derived and analyzed. Finally, simulation results are provided to demonstrate that the proposed framework is helpful to achieve a good tradeoff between model complexity and accuracy for investigating the channel propagation characteristics, and therefore providing highly-efficient communications in RIS-enabled UAV-to-vehicle wireless networks.","Tue, 19 Mar 2024 14:48:10 UTC (1,183 KB)"
"9","ContextVis: Envision Contextual Learning and Interaction with Generative Models","Bo Shui, Chufan Shi, Yujiu Yang, Xiaomei Nie","Human-Computer Interaction (cs.HC)","ContextVis introduces a workflow by integrating generative models to create contextual learning materials. It aims to boost knowledge acquisition through the creation of resources with contextual cues. A case study on vocabulary learning demonstrates the effectiveness of generative models in developing educational resources that enrich language understanding and aid memory retention. The system combines an easy-to-use Dashboard for educators with an interactive Playground for learners, establishing a unified platform for content creation and interaction. Future work may expand to include a wider range of generative models, media formats, and customization features for educators.","Tue, 19 Mar 2024 14:32:28 UTC (4,382 KB)"
"10","Smooth helically symmetric transonic flows with nonzero vorticity in a concentric cylinder","Yi Ke, Shangkun Weng","Analysis of PDEs (math.AP)","This paper concerns the structural stability of smooth cylindrical symmetric transonic flows in a concentric cylinder under helically symmetric perturbation of suitable boundary conditions. The deformation-curl decomposition developed by the second author and his collaborator is utilized to effectively decouple the elliptic-hyperbolic mixed structure in the steady compressible Euler equation. A key parameter in the helical symmetry is the step (denoted by $\sigma$), which denotes the magnitude of the translation along the symmetry axis after rotating one full turn. It is shown that the step determines the type of the first order partial differential system satisfied by the radial and vertical velocity. There exists a critical number $\sigma_{*}$ depending only on the background transonic flows, such that if $0<\sigma<\sigma_{*}$, one can prove the existence and uniqueness of smooth helically symmetric transonic flows with nonzero vorticity.","Tue, 19 Mar 2024 14:29:57 UTC (14 KB)"
