"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Nikhil","Verified Purchase","Reviewed in Australia on 25 October 2023","4.2 out of 5 stars","        Durable and good !  "
"2","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Jianhao Ou","Verified Purchase","Reviewed in Australia on 15 January 2024","5.0 out of 5 stars","        Happy with these. As expected.  "
"3","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Nikhil","Verified Purchase","Reviewed in Australia on 25 October 2023","1.0 out of 5 stars","        We bought lots of earphones. This one works well. The quality is good in its price.  "
"4","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","JJ","Verified Purchase","Reviewed in Australia on 12 January 2024","5.0 out of 5 stars","        Passive ear buds are a great backup to my Bluetooth ones.Cord is long enough to have the E phone tucked away in the pocket or bag without any hindrance.Good ear fit, although it might slide out if not pushed in properly. Check the silicone fittings.No-tangle cable is a plus and hassle free.  "
"5","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Jackaroo","Verified Purchase","Reviewed in Australia on 13 August 2023","5.0 out of 5 stars","        Good quality earphone, fast delivery. Thank you!!  "
"6","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Minx Chique","Verified Purchase","Reviewed in Australia on 4 March 2023","5.0 out of 5 stars","        Happy with the purchase, they work well  "
"7","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Minx Chique","Verified Purchase","Reviewed in Australia on 3 July 2023","5.0 out of 5 stars","      Das Headset funktioniert einbandfrei, wie das Original.Lieferung war auch schnell wie immer.Jederzeit wieder.    "
"8","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Sammi Chen","Verified Purchase","Reviewed in Australia on 9 November 2022","5.0 out of 5 stars","        I had a good experience previously with the AKG/Samsung headphone with the 3.5mm jack. The new one (this item) is identical in performance and I'm very pleased.  "
"9","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Samantha Appenzeller","Verified Purchase","Reviewed in Germany on 14 March 2024","5.0 out of 5 stars","        When I bought my Samsung Galaxy Note S10 a year ago these where the headphones that came with them. They last long, they Didn't get a short in the wire (I got them tangled a lot), never broke until this year when they stop connecting to my phone. MY FAVORITE DURABLE HEADPHONES. I bought some that said they were compatible with my phone(Being cheap) And they were HORRIBLE!  These are real deal they have duplicate companies saying they sell these, but it doesn't have the C connector and not good quality so beware.  "
"10","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Nicki","Verified Purchase","Reviewed in the Netherlands on 7 January 2023","5.0 out of 5 stars","        Sound quality is very good.  "
"11","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","A Golic","Verified Purchase","Reviewed in the United States on 19 June 2021","5.0 out of 5 stars","        Was looking for a comfortable pair for earphones to listen to music with a higher quality without the need to wear massive headphones. Never knew about IEM's did about ten mins of research and was convinced that these ZS10 PRO is what I needed, I was not disappointed.It takes a bit of fiddling to get the ear plug that works for you, but when you do its heaven. A crisp sound with deep bass (I listen to a lot of edm, rock, metal, screamo and phonk plus the occasional 80's classics) and these produce sounds I've never heard before within songs. 10/10 if you're looking at getting a pair of comfortable earphones what are crazy obvious, you're wearing some which produce great sound, go no further.  "
"12","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","KURTINA B","Verified Purchase","Reviewed in Singapore on 26 August 2023","5.0 out of 5 stars","        Bang for your buck! Sounds AMAZING. Simple not a lot of trash packaging. Very satisfied with the product. However, this is still new, so product durability is unknown. However, the feeling to the touch is definitely expensive.  "
"13","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","KURTINA B","Verified Purchase","Reviewed in Australia on 26 January 2024","5.0 out of 5 stars","        For a reasonable price you get top quality.  "
"14","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Kyaw Nanda","Verified Purchase","Reviewed in Australia on 20 February 2024","5.0 out of 5 stars","        I followed the instructions and started with the smallest silicon earpieces. Ended up with the second smallest, which are comfortable, and still seal the ear canals.I couldn't see a L or an R anywhere but figured the cable with the button is the right channel.Worked out which way around the pods go and plugged them in.I am listening to them through a XDUOO XD05 Bal DAC/Headphone Amp.Hard to say they sound as good as my $400 Sony WH1000 Noise-cancelling headphones, but they sound great, and I have no desire to change. They are truly a comfortable fit once you get the silicon earpiece sizes sorted. Also a lot less cumbersome to wear and not as expensive to lose as the WH1000 Headphones; and they fit in my pocket, although I'd probably use a pouch first.3.5mm plug didn't want to plug into the phone and stay but did snap into the 3.5mm to 6.5mm adaptor that plugs into the DAC.Well worth the coin.  "
"15","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Cytokyn","Verified Purchase","Reviewed in Australia on 4 September 2023","5.0 out of 5 stars","        They work, They're loud, They're clear (very Clear) and I think that they will go pound for pound with many of the other models out there with a much higher price point. If you are looking to buy these for everyday use and not professional use. Then you have found a decent set of plugs.... Now, you're gonna have other users tell you they are muddy, tinny, lack mid and even have overpowering mids.. let's face it, you're probably not even going to notice as a standard user listening to Spotify... If you're a professional and need them for specific work or whatever, then this isn't the review for you. All i can say as what i call a standard user/music lover they get the job done and done very well... Fit better then that air pods pro from a fit side. Do have some weight from the styling of the metal and the cable will question your ability to set them up.. The over ear cable also secured them well after i had to swap the way i put them together. Passive sound isolation is as others would be. Ear tips a comfortable. Cable length is acceptable. would buy again if i had to purchase another pair.  "
"16","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Endro Wedianto","Verified Purchase","Reviewed in Australia on 8 December 2023","4.5 out of 5 stars","        It sounds great I can tell. I’m also biased because this is my first ever in-ear monitor, but if you are in the same place as me, it is a great choice. It can be a bit bulky when you put it in your ear, if you get to compare with other brands. But who cares? It is comfortable in my ears. :D  "
"17","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Daniel Gorgievski","Verified Purchase","Reviewed in Australia on 22 December 2023","5.0 out of 5 stars","        This product is amazing. I love sound quality. The sound quality is impressive..Highly recommend  "
"18","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Neddy Spaghetti","Verified Purchase","Reviewed in Australia on 27 February 2023","3.0 out of 5 stars","        I really like everything about these ear phones.I switched out the standard size earbuds to the smallest one as I have small ears. And it’s super comfortable and at times you forget you’re wearing it.My only complaint is that the cable is a bit too short for my needs. These are my first ever in ear monitor earphones so not sure if that’s a standard length hence I didn’t take off any stars for it.Otherwise I’m happy with it. Sound quality was great, already helped me fix some of my vocal and guitar mixing for my helix live performance presets.I do recommend the purchase.  "
"19","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","NICK G","Verified Purchase","Reviewed in Australia on 16 October 2022","5.0 out of 5 stars","        Very good smooth  "
"20","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","MARCEL MEDINA","Verified Purchase","Reviewed in Australia on 15 September 2023","5.0 out of 5 stars","        Absolutely blown away with the value for money with these IEMs. I found these by accident and seen some reviews, but experiencing them myself has really been a game changer. I couldn’t believe what I was hearing and the bass punches way above it’s weight. I ended up buying another set as back up…totally in love with these and no one will change my mind 😀  "
"21","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Lion Jean","Verified Purchase","Reviewed in Australia on 10 November 2023","5.0 out of 5 stars","      Das sind einfach die besten kabelgebunden Kopfhörer die es gibt.    "
"22","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Kevin Magalona","Verified Purchase","Reviewed in Australia on 6 March 2023","5.0 out of 5 stars","      Ya tenía unos de este modelo y los vuelvo a comprar por la calidad/precio.Suenan bien, si le tuviera que poner una pega sería que fueran las almohadillas un poco más cómodas.    "
"23","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","KimH ","Verified Purchase","Reviewed in Australia on 5 November 2023","5.0 out of 5 stars","        Great service..awesome headsets  "
"24","Bose QuietComfort Ultra Wireless Noise Cancelling Earbuds, Bluetooth Noise Cancelling Earbuds with Spatial Audio and World-Class Noise Cancellation, Black  ","Bill","Verified Purchase","Reviewed in Australia on 9 July 2023","5.0 out of 5 stars","        Coll  "
